resume_text,category
"Certified Data Science expert with a strong background in TensorFlow, Pandas, Scikit-learn, SQL, NumPy, NLP. Passionate about building scalable solutions. Projects: Implemented Customer Churn Prediction which improved efficiency by 36%. Architected a Recommendation Engine using Data Visualization, PyTorch, NumPy and deployed on GCP.",Data Science
"Results-driven Tester professional with expertise in Python, Automation Testing, Selenium, TestNG, JUnit, Java. Worked on several high-impact projects. Projects: Led the team in creating Performance Benchmarking with focus on Automation Testing, TestNG, Bug Tracking. Architected a E-commerce Test Suite using Automation Testing, Manual Testing, Bug Tracking and deployed on AWS. Implemented Performance Benchmarking which improved efficiency by 37%.",Tester
"Tester lead with 8 years of experience. Skilled at Java, Bug Tracking, TestNG, SDLC, JUnit, Automation Testing and team management. Projects: Architected a Mobile App Automation using TestNG, Automation Testing, Java and deployed on AWS.",Tester
"Results-driven Frontend Developer professional with expertise in Tailwind CSS, HTML5, Web Design, JavaScript, TypeScript, Bootstrap. Worked on several high-impact projects. Projects: Led the team in creating Dashboard UI with focus on Bootstrap, Web Design, Redux. Implemented Dashboard UI which improved efficiency by 42%.",Frontend Developer
"Results-driven DevOps professional with expertise in Scripting, Linux, Jenkins, Kubernetes, Ansible, Docker. Worked on several high-impact projects. Projects: Led the team in creating Infrastructure as Code with Terraform with focus on CI/CD, AWS, Docker. Architected a Kubernetes Deployment Pipeline using Linux, Scripting, Ansible and deployed on Azure.",DevOps
"Junior Tester with a solid foundation in Python, Selenium, SDLC, Automation Testing, TestNG, JUnit. Eager to contribute to innovative projects. Projects: Implemented E-commerce Test Suite which improved efficiency by 34%. Implemented Mobile App Automation which improved efficiency by 27%.",Tester
"Junior Java Developer with a solid foundation in SQL, Microservices, Java, Multithreading, JUnit, JVM. Eager to contribute to innovative projects. Projects: Led the team in creating Inventory Management System with focus on Multithreading, SQL, Hibernate.",Java Developer
"Certified Frontend Developer expert with a strong background in Web Design, TypeScript, React, Next.js, CSS3, HTML5. Passionate about building scalable solutions. Projects: Implemented Social Media Feed which improved efficiency by 18%.",Frontend Developer
"Certified DevOps expert with a strong background in Monitoring, Linux, Terraform, Scripting, Kubernetes, CI/CD. Passionate about building scalable solutions. Projects: Developed a Kubernetes Deployment Pipeline using Monitoring, Linux, AWS. Implemented Kubernetes Deployment Pipeline which improved efficiency by 29%.",DevOps
"Certified Java Developer expert with a strong background in SQL, Hibernate, Microservices, JVM, Java, Multithreading. Passionate about building scalable solutions. Projects: Developed a Banking Microservices using REST API, Microservices, Java.",Java Developer
"Junior Java Developer with a solid foundation in SQL, REST API, Hibernate, Multithreading, Maven, Spring Boot. Eager to contribute to innovative projects. Projects: Developed a Flight Booking API using JVM, JUnit, REST API. Led the team in creating Flight Booking API with focus on Java, JUnit, JVM. Led the team in creating Inventory Management System with focus on Java, REST API, SQL.",Java Developer
"Results-driven Java Developer professional with expertise in Hibernate, Maven, Microservices, JUnit, JVM, Java. Worked on several high-impact projects. Projects: Implemented Inventory Management System which improved efficiency by 21%. Led the team in creating Banking Microservices with focus on Java, REST API, JUnit.",Java Developer
"Full Stack Developer lead with 10 years of experience. Skilled at Node.js, React, Express, Docker, Spring Boot, REST API and team management. Projects: Implemented Healthcare Portal which improved efficiency by 17%. Architected a SaaS Application using Node.js, Java, MongoDB and deployed on GCP. Led the team in creating SaaS Application with focus on Java, Node.js, Express.",Full Stack Developer
"Certified Tester expert with a strong background in Java, Bug Tracking, Manual Testing, JUnit, Automation Testing, TestNG. Passionate about building scalable solutions. Projects: Developed a Mobile App Automation using Automation Testing, Java, JUnit. Implemented Mobile App Automation which improved efficiency by 19%. Led the team in creating Performance Benchmarking with focus on Manual Testing, Selenium, Java.",Tester
"Experienced Tester with 12 years in the industry. Proficient in Selenium, Java, JUnit, API Testing, Python, Manual Testing. Projects: Developed a Security Testing Framework using Selenium, SDLC, Automation Testing.",Tester
"Junior Frontend Developer with a solid foundation in TypeScript, React, Bootstrap, CSS3, Web Design, Next.js. Eager to contribute to innovative projects. Projects: Architected a Dashboard UI using Next.js, React, CSS3 and deployed on GCP. Developed a Dashboard UI using TypeScript, React, Redux. Architected a Social Media Feed using TypeScript, Redux, HTML5 and deployed on Azure.",Frontend Developer
"Tester lead with 10 years of experience. Skilled at Selenium, SDLC, TestNG, Python, Bug Tracking, Automation Testing and team management. Projects: Implemented Mobile App Automation which improved efficiency by 40%.",Tester
"Tester lead with 2 years of experience. Skilled at TestNG, API Testing, JUnit, Bug Tracking, Python, Selenium and team management. Projects: Architected a Performance Benchmarking using SDLC, TestNG, Selenium and deployed on GCP. Led the team in creating Performance Benchmarking with focus on Automation Testing, Java, JUnit.",Tester
"Results-driven Full Stack Developer professional with expertise in JavaScript, React, Node.js, MongoDB, SQL, Docker. Worked on several high-impact projects. Projects: Developed a Online Marketplace using SQL, Java, Express.",Full Stack Developer
"Junior DevOps with a solid foundation in Monitoring, CI/CD, Terraform, Azure, AWS, Jenkins. Eager to contribute to innovative projects. Projects: Architected a Cloud Migration Project using Terraform, Scripting, CI/CD and deployed on Azure.",DevOps
"Certified Frontend Developer expert with a strong background in JavaScript, CSS3, Bootstrap, Tailwind CSS, Next.js, Redux. Passionate about building scalable solutions. Projects: Developed a Dashboard UI using Tailwind CSS, Bootstrap, TypeScript.",Frontend Developer
"Results-driven Frontend Developer professional with expertise in Next.js, React, Redux, JavaScript, HTML5, Tailwind CSS. Worked on several high-impact projects. Projects: Led the team in creating Social Media Feed with focus on Tailwind CSS, Web Design, JavaScript. Developed a Dashboard UI using Next.js, TypeScript, Redux.",Frontend Developer
"Results-driven HR professional with expertise in Recruitment, Payroll, HR Policies, Employee Relations, Onboarding, Strategic HR. Worked on several high-impact projects. Projects: Architected a ATS Implementation using Talent Acquisition, Onboarding, Strategic HR and deployed on AWS. Developed a Performance Review System using Onboarding, Talent Acquisition, Recruitment. Implemented Performance Review System which improved efficiency by 50%.",HR
"Junior Data Science with a solid foundation in Scikit-learn, NumPy, TensorFlow, Data Visualization, SQL, Machine Learning. Eager to contribute to innovative projects. Projects: Led the team in creating Fraud Detection System with focus on NumPy, PyTorch, Scikit-learn.",Data Science
"Certified Frontend Developer expert with a strong background in TypeScript, CSS3, Tailwind CSS, HTML5, React, Web Design. Passionate about building scalable solutions. Projects: Developed a Dashboard UI using Bootstrap, CSS3, Tailwind CSS. Implemented Portfolio Website which improved efficiency by 39%.",Frontend Developer
"Certified HR expert with a strong background in Strategic HR, Training, Talent Acquisition, Recruitment, Onboarding, Employee Relations. Passionate about building scalable solutions. Projects: Implemented Performance Review System which improved efficiency by 49%.",HR
"Certified DevOps expert with a strong background in Ansible, Docker, Azure, Monitoring, Kubernetes, AWS. Passionate about building scalable solutions. Projects: Developed a Monitoring Dashboard using Monitoring, AWS, Scripting. Architected a Infrastructure as Code with Terraform using Ansible, AWS, Docker and deployed on Azure. Developed a Monitoring Dashboard using Azure, Scripting, Monitoring.",DevOps
"Junior DevOps with a solid foundation in Monitoring, Scripting, AWS, Kubernetes, CI/CD, Docker. Eager to contribute to innovative projects. Projects: Led the team in creating Infrastructure as Code with Terraform with focus on Docker, Linux, Monitoring.",DevOps
"Frontend Developer lead with 6 years of experience. Skilled at CSS3, Tailwind CSS, Redux, Bootstrap, TypeScript, Next.js and team management. Projects: Implemented Social Media Feed which improved efficiency by 39%. Implemented Portfolio Website which improved efficiency by 23%.",Frontend Developer
"Experienced Frontend Developer with 13 years in the industry. Proficient in Tailwind CSS, Redux, Next.js, CSS3, JavaScript, HTML5. Projects: Architected a Dashboard UI using Web Design, JavaScript, React and deployed on AWS. Developed a Portfolio Website using Web Design, React, Redux.",Frontend Developer
"Experienced Java Developer with 12 years in the industry. Proficient in Java, REST API, Maven, SQL, Multithreading, Spring Boot. Projects: Architected a E-commerce Backend using Multithreading, JVM, REST API and deployed on GCP. Architected a E-commerce Backend using SQL, Maven, REST API and deployed on Azure.",Java Developer
"Results-driven Java Developer professional with expertise in Hibernate, Microservices, JVM, Maven, Java, REST API. Worked on several high-impact projects. Projects: Implemented Inventory Management System which improved efficiency by 42%. Implemented E-commerce Backend which improved efficiency by 39%.",Java Developer
"Certified Frontend Developer expert with a strong background in Redux, JavaScript, HTML5, Bootstrap, React, CSS3. Passionate about building scalable solutions. Projects: Developed a Social Media Feed using Next.js, React, Web Design.",Frontend Developer
"Certified DevOps expert with a strong background in Azure, Ansible, Linux, Docker, CI/CD, AWS. Passionate about building scalable solutions. Projects: Architected a Infrastructure as Code with Terraform using Docker, Monitoring, Ansible and deployed on Azure. Developed a Cloud Migration Project using CI/CD, AWS, Scripting.",DevOps
"Results-driven Java Developer professional with expertise in Hibernate, Maven, REST API, JUnit, Microservices, Multithreading. Worked on several high-impact projects. Projects: Developed a Inventory Management System using Spring Boot, Java, Hibernate. Architected a E-commerce Backend using JUnit, Hibernate, Spring Boot and deployed on GCP.",Java Developer
"DevOps lead with 6 years of experience. Skilled at Linux, Monitoring, Ansible, Jenkins, Kubernetes, Terraform and team management. Projects: Led the team in creating Infrastructure as Code with Terraform with focus on Terraform, Monitoring, Kubernetes. Implemented Monitoring Dashboard which improved efficiency by 34%. Architected a Kubernetes Deployment Pipeline using CI/CD, Kubernetes, Ansible and deployed on GCP.",DevOps
"Results-driven Data Science professional with expertise in SQL, NumPy, Pandas, Machine Learning, TensorFlow, Python. Worked on several high-impact projects. Projects: Implemented Recommendation Engine which improved efficiency by 20%. Developed a Recommendation Engine using Pandas, PyTorch, TensorFlow. Developed a Image Recognition App using SQL, Pandas, NumPy.",Data Science
"Junior Data Science with a solid foundation in Scikit-learn, Deep Learning, SQL, Data Visualization, NumPy, Python. Eager to contribute to innovative projects. Projects: Led the team in creating Image Recognition App with focus on PyTorch, Python, SQL.",Data Science
"Certified DevOps expert with a strong background in Terraform, AWS, Monitoring, Jenkins, Docker, Scripting. Passionate about building scalable solutions. Projects: Developed a Cloud Migration Project using Monitoring, AWS, Azure. Led the team in creating Kubernetes Deployment Pipeline with focus on Jenkins, Scripting, Linux. Implemented Infrastructure as Code with Terraform which improved efficiency by 33%.",DevOps
"HR lead with 11 years of experience. Skilled at Talent Acquisition, Training, Employee Relations, Recruitment, Payroll, HR Policies and team management. Projects: Implemented Payroll Automation which improved efficiency by 12%. Implemented Performance Review System which improved efficiency by 14%.",HR
"Experienced Tester with 14 years in the industry. Proficient in Bug Tracking, SDLC, Selenium, API Testing, Manual Testing, TestNG. Projects: Led the team in creating Mobile App Automation with focus on API Testing, JUnit, Manual Testing.",Tester
"Certified HR expert with a strong background in Employee Relations, Talent Acquisition, Payroll, HR Policies, Strategic HR, Onboarding. Passionate about building scalable solutions. Projects: Architected a Payroll Automation using Employee Relations, Payroll, Recruitment and deployed on Azure. Architected a ATS Implementation using Training, Payroll, Onboarding and deployed on Azure. Developed a Payroll Automation using Payroll, Training, Recruitment.",HR
"Certified HR expert with a strong background in Training, Strategic HR, Recruitment, HR Policies, Talent Acquisition, Payroll. Passionate about building scalable solutions. Projects: Led the team in creating Payroll Automation with focus on Payroll, Recruitment, Employee Relations.",HR
"Junior Frontend Developer with a solid foundation in Next.js, Tailwind CSS, Redux, CSS3, React, Web Design. Eager to contribute to innovative projects. Projects: Led the team in creating Social Media Feed with focus on Bootstrap, Web Design, CSS3. Implemented Social Media Feed which improved efficiency by 39%.",Frontend Developer
"Experienced Tester with 6 years in the industry. Proficient in JUnit, API Testing, Selenium, Automation Testing, Bug Tracking, Python. Projects: Implemented Mobile App Automation which improved efficiency by 35%. Developed a Mobile App Automation using SDLC, Automation Testing, Python.",Tester
"Experienced Frontend Developer with 7 years in the industry. Proficient in TypeScript, CSS3, JavaScript, Next.js, React, Web Design. Projects: Developed a Dashboard UI using Redux, CSS3, Bootstrap. Implemented Portfolio Website which improved efficiency by 33%.",Frontend Developer
"Tester lead with 14 years of experience. Skilled at SDLC, API Testing, TestNG, JUnit, Selenium, Python and team management. Projects: Architected a Security Testing Framework using Bug Tracking, API Testing, JUnit and deployed on Azure. Architected a Mobile App Automation using SDLC, JUnit, Automation Testing and deployed on GCP. Architected a Performance Benchmarking using API Testing, Manual Testing, Automation Testing and deployed on GCP.",Tester
"Experienced DevOps with 13 years in the industry. Proficient in Kubernetes, Ansible, Monitoring, CI/CD, Terraform, AWS. Projects: Architected a Infrastructure as Code with Terraform using AWS, Linux, Azure and deployed on Azure.",DevOps
"Results-driven Tester professional with expertise in SDLC, Manual Testing, Python, TestNG, Bug Tracking, Selenium. Worked on several high-impact projects. Projects: Led the team in creating Performance Benchmarking with focus on TestNG, JUnit, Python. Architected a Performance Benchmarking using Manual Testing, SDLC, API Testing and deployed on Azure. Architected a E-commerce Test Suite using Selenium, Python, Automation Testing and deployed on GCP.",Tester
"Results-driven Tester professional with expertise in API Testing, Automation Testing, Manual Testing, Java, Python, Selenium. Worked on several high-impact projects. Projects: Implemented Security Testing Framework which improved efficiency by 13%. Led the team in creating Security Testing Framework with focus on SDLC, Bug Tracking, Automation Testing.",Tester
"Experienced Tester with 10 years in the industry. Proficient in Bug Tracking, Java, API Testing, TestNG, Selenium, Python. Projects: Implemented Performance Benchmarking which improved efficiency by 41%. Implemented Performance Benchmarking which improved efficiency by 10%.",Tester
"Experienced DevOps with 7 years in the industry. Proficient in Azure, Kubernetes, Docker, Scripting, Monitoring, Ansible. Projects: Implemented Monitoring Dashboard which improved efficiency by 20%.",DevOps
"Certified Data Science expert with a strong background in Deep Learning, NLP, Machine Learning, SQL, Pandas, Scikit-learn. Passionate about building scalable solutions. Projects: Architected a Recommendation Engine using Python, Machine Learning, TensorFlow and deployed on AWS. Architected a Fraud Detection System using Python, Machine Learning, PyTorch and deployed on AWS. Implemented Fraud Detection System which improved efficiency by 10%.",Data Science
"Junior Frontend Developer with a solid foundation in Next.js, Redux, JavaScript, TypeScript, Web Design, CSS3. Eager to contribute to innovative projects. Projects: Developed a Portfolio Website using Tailwind CSS, JavaScript, CSS3. Architected a Dashboard UI using JavaScript, Redux, Bootstrap and deployed on AWS.",Frontend Developer
"Experienced Tester with 3 years in the industry. Proficient in Java, Selenium, Bug Tracking, SDLC, Manual Testing, JUnit. Projects: Implemented Performance Benchmarking which improved efficiency by 24%.",Tester
"Results-driven HR professional with expertise in Recruitment, Training, Talent Acquisition, Payroll, HR Policies, Onboarding. Worked on several high-impact projects. Projects: Architected a Payroll Automation using HR Policies, Payroll, Onboarding and deployed on GCP.",HR
"Junior DevOps with a solid foundation in Terraform, AWS, Ansible, Docker, Jenkins, Linux. Eager to contribute to innovative projects. Projects: Led the team in creating Cloud Migration Project with focus on AWS, Terraform, Jenkins. Architected a Infrastructure as Code with Terraform using Docker, AWS, Jenkins and deployed on GCP.",DevOps
"Experienced Frontend Developer with 8 years in the industry. Proficient in Bootstrap, Next.js, CSS3, TypeScript, Web Design, Tailwind CSS. Projects: Implemented Portfolio Website which improved efficiency by 41%.",Frontend Developer
"Certified Java Developer expert with a strong background in Maven, Microservices, Spring Boot, Java, REST API, JUnit. Passionate about building scalable solutions. Projects: Implemented E-commerce Backend which improved efficiency by 29%. Led the team in creating Inventory Management System with focus on Maven, JUnit, Multithreading.",Java Developer
"Junior DevOps with a solid foundation in Jenkins, Monitoring, AWS, Linux, CI/CD, Scripting. Eager to contribute to innovative projects. Projects: Architected a Monitoring Dashboard using Monitoring, Linux, Terraform and deployed on Azure. Implemented Infrastructure as Code with Terraform which improved efficiency by 49%. Architected a Infrastructure as Code with Terraform using AWS, CI/CD, Scripting and deployed on GCP.",DevOps
"Junior Full Stack Developer with a solid foundation in Express, REST API, Docker, Java, Node.js, Spring Boot. Eager to contribute to innovative projects. Projects: Architected a Real-time Chat App using React, SQL, Spring Boot and deployed on GCP. Architected a Healthcare Portal using MongoDB, Express, Java and deployed on Azure. Led the team in creating Healthcare Portal with focus on SQL, Spring Boot, React.",Full Stack Developer
"HR lead with 4 years of experience. Skilled at HR Policies, Recruitment, Talent Acquisition, Employee Relations, Training, Strategic HR and team management. Projects: Architected a ATS Implementation using Payroll, Recruitment, Strategic HR and deployed on AWS. Developed a ATS Implementation using Onboarding, Strategic HR, Payroll. Developed a Payroll Automation using Payroll, Recruitment, Employee Relations.",HR
"Junior HR with a solid foundation in Payroll, Talent Acquisition, Onboarding, Recruitment, Strategic HR, Training. Eager to contribute to innovative projects. Projects: Developed a Employee Engagement Portal using Payroll, Training, HR Policies. Architected a Payroll Automation using Employee Relations, Payroll, Talent Acquisition and deployed on AWS. Architected a Employee Engagement Portal using Onboarding, HR Policies, Talent Acquisition and deployed on GCP.",HR
"HR lead with 13 years of experience. Skilled at Strategic HR, HR Policies, Training, Employee Relations, Talent Acquisition, Onboarding and team management. Projects: Led the team in creating Payroll Automation with focus on Onboarding, Strategic HR, HR Policies.",HR
"Junior Java Developer with a solid foundation in SQL, Microservices, Multithreading, Java, JVM, Hibernate. Eager to contribute to innovative projects. Projects: Architected a Banking Microservices using Spring Boot, Java, Multithreading and deployed on GCP. Led the team in creating Flight Booking API with focus on Hibernate, Microservices, JVM. Developed a Inventory Management System using REST API, Maven, Hibernate.",Java Developer
"Results-driven Frontend Developer professional with expertise in HTML5, CSS3, React, Web Design, JavaScript, Next.js. Worked on several high-impact projects. Projects: Architected a E-learning Platform using TypeScript, JavaScript, Tailwind CSS and deployed on AWS. Led the team in creating E-learning Platform with focus on React, TypeScript, HTML5. Implemented Dashboard UI which improved efficiency by 46%.",Frontend Developer
"Results-driven Full Stack Developer professional with expertise in Express, Java, REST API, JavaScript, Node.js, React. Worked on several high-impact projects. Projects: Led the team in creating Online Marketplace with focus on Express, Docker, Spring Boot.",Full Stack Developer
"Certified Full Stack Developer expert with a strong background in JavaScript, REST API, Express, React, Docker, Spring Boot. Passionate about building scalable solutions. Projects: Led the team in creating Healthcare Portal with focus on React, Java, Docker. Led the team in creating Online Marketplace with focus on React, SQL, Spring Boot. Architected a Healthcare Portal using React, MongoDB, REST API and deployed on GCP.",Full Stack Developer
"Results-driven Data Science professional with expertise in NumPy, TensorFlow, Scikit-learn, SQL, Deep Learning, Pandas. Worked on several high-impact projects. Projects: Led the team in creating Image Recognition App with focus on NLP, NumPy, Machine Learning. Implemented Fraud Detection System which improved efficiency by 36%.",Data Science
"Frontend Developer lead with 4 years of experience. Skilled at Redux, Next.js, Tailwind CSS, HTML5, Bootstrap, React and team management. Projects: Implemented Social Media Feed which improved efficiency by 47%. Developed a Social Media Feed using Bootstrap, Web Design, Tailwind CSS. Led the team in creating E-learning Platform with focus on Redux, JavaScript, Web Design.",Frontend Developer
"Certified Frontend Developer expert with a strong background in JavaScript, Web Design, Next.js, Redux, HTML5, Tailwind CSS. Passionate about building scalable solutions. Projects: Implemented Dashboard UI which improved efficiency by 15%. Implemented E-learning Platform which improved efficiency by 20%.",Frontend Developer
"Data Science lead with 15 years of experience. Skilled at Pandas, PyTorch, NumPy, Machine Learning, SQL, NLP and team management. Projects: Developed a Recommendation Engine using Pandas, Data Visualization, Scikit-learn. Architected a Image Recognition App using Scikit-learn, PyTorch, SQL and deployed on AWS.",Data Science
"Certified DevOps expert with a strong background in Jenkins, Azure, CI/CD, Scripting, Monitoring, AWS. Passionate about building scalable solutions. Projects: Implemented Monitoring Dashboard which improved efficiency by 18%. Implemented Cloud Migration Project which improved efficiency by 22%.",DevOps
"Results-driven Frontend Developer professional with expertise in JavaScript, TypeScript, CSS3, Tailwind CSS, Bootstrap, Web Design. Worked on several high-impact projects. Projects: Architected a Dashboard UI using TypeScript, CSS3, React and deployed on AWS. Developed a Dashboard UI using Bootstrap, HTML5, Redux. Developed a Social Media Feed using CSS3, Web Design, Tailwind CSS.",Frontend Developer
"Junior Frontend Developer with a solid foundation in React, Next.js, Web Design, HTML5, JavaScript, Tailwind CSS. Eager to contribute to innovative projects. Projects: Architected a Dashboard UI using Web Design, Bootstrap, HTML5 and deployed on Azure. Developed a Portfolio Website using JavaScript, Next.js, React.",Frontend Developer
"Certified HR expert with a strong background in Recruitment, Strategic HR, Training, Talent Acquisition, Payroll, HR Policies. Passionate about building scalable solutions. Projects: Developed a Employee Engagement Portal using Recruitment, Onboarding, Talent Acquisition. Architected a Payroll Automation using Training, Recruitment, Employee Relations and deployed on Azure. Implemented Employee Engagement Portal which improved efficiency by 44%.",HR
"Junior Full Stack Developer with a solid foundation in JavaScript, Express, REST API, Docker, Node.js, Java. Eager to contribute to innovative projects. Projects: Architected a Online Marketplace using Java, Docker, JavaScript and deployed on GCP. Architected a SaaS Application using JavaScript, Spring Boot, SQL and deployed on AWS.",Full Stack Developer
"Frontend Developer lead with 13 years of experience. Skilled at HTML5, TypeScript, JavaScript, Bootstrap, React, Tailwind CSS and team management. Projects: Developed a E-learning Platform using TypeScript, CSS3, Bootstrap. Developed a Social Media Feed using HTML5, Bootstrap, CSS3.",Frontend Developer
"Junior Tester with a solid foundation in Java, Python, Bug Tracking, SDLC, JUnit, Selenium. Eager to contribute to innovative projects. Projects: Developed a Mobile App Automation using SDLC, Python, Selenium. Led the team in creating Mobile App Automation with focus on JUnit, Java, SDLC. Led the team in creating E-commerce Test Suite with focus on Selenium, Python, API Testing.",Tester
"Certified HR expert with a strong background in Employee Relations, Payroll, Onboarding, HR Policies, Recruitment, Training. Passionate about building scalable solutions. Projects: Implemented Payroll Automation which improved efficiency by 34%. Architected a Payroll Automation using Payroll, HR Policies, Recruitment and deployed on Azure. Led the team in creating Employee Engagement Portal with focus on Recruitment, Onboarding, Talent Acquisition.",HR
"Experienced HR with 9 years in the industry. Proficient in HR Policies, Recruitment, Strategic HR, Training, Payroll, Talent Acquisition. Projects: Led the team in creating Employee Engagement Portal with focus on Talent Acquisition, Recruitment, Onboarding. Architected a ATS Implementation using Strategic HR, Talent Acquisition, Employee Relations and deployed on AWS. Implemented Employee Engagement Portal which improved efficiency by 21%.",HR
"Results-driven HR professional with expertise in HR Policies, Training, Onboarding, Recruitment, Strategic HR, Employee Relations. Worked on several high-impact projects. Projects: Developed a Payroll Automation using Strategic HR, Employee Relations, Talent Acquisition. Architected a ATS Implementation using Payroll, HR Policies, Strategic HR and deployed on AWS.",HR
"Experienced DevOps with 15 years in the industry. Proficient in Scripting, CI/CD, Ansible, Terraform, Azure, Monitoring. Projects: Led the team in creating Kubernetes Deployment Pipeline with focus on CI/CD, Jenkins, Terraform. Architected a Kubernetes Deployment Pipeline using AWS, Monitoring, CI/CD and deployed on GCP.",DevOps
"Experienced Java Developer with 2 years in the industry. Proficient in SQL, REST API, Maven, JUnit, Spring Boot, Java. Projects: Implemented Inventory Management System which improved efficiency by 29%.",Java Developer
"Data Science lead with 2 years of experience. Skilled at SQL, NumPy, Python, TensorFlow, NLP, Scikit-learn and team management. Projects: Led the team in creating Image Recognition App with focus on PyTorch, Data Visualization, TensorFlow. Architected a Recommendation Engine using Pandas, Deep Learning, TensorFlow and deployed on GCP.",Data Science
"DevOps lead with 9 years of experience. Skilled at CI/CD, Linux, Ansible, Kubernetes, Terraform, AWS and team management. Projects: Led the team in creating Infrastructure as Code with Terraform with focus on Jenkins, Docker, Monitoring. Implemented Monitoring Dashboard which improved efficiency by 25%. Led the team in creating Cloud Migration Project with focus on Azure, Kubernetes, AWS.",DevOps
"Junior Java Developer with a solid foundation in Maven, Spring Boot, Hibernate, Multithreading, REST API, JVM. Eager to contribute to innovative projects. Projects: Developed a Banking Microservices using Java, JUnit, REST API. Architected a E-commerce Backend using SQL, JVM, Java and deployed on GCP.",Java Developer
"Certified Tester expert with a strong background in Bug Tracking, Manual Testing, JUnit, Automation Testing, Java, SDLC. Passionate about building scalable solutions. Projects: Implemented Mobile App Automation which improved efficiency by 18%.",Tester
"HR lead with 13 years of experience. Skilled at Onboarding, Employee Relations, Strategic HR, Talent Acquisition, HR Policies, Recruitment and team management. Projects: Led the team in creating ATS Implementation with focus on HR Policies, Training, Recruitment. Implemented Performance Review System which improved efficiency by 30%.",HR
"Experienced Full Stack Developer with 10 years in the industry. Proficient in Express, SQL, Spring Boot, React, Node.js, Docker. Projects: Architected a Healthcare Portal using Java, Node.js, SQL and deployed on GCP.",Full Stack Developer
"Results-driven Tester professional with expertise in Automation Testing, API Testing, Python, JUnit, Bug Tracking, Java. Worked on several high-impact projects. Projects: Led the team in creating Security Testing Framework with focus on Manual Testing, SDLC, API Testing. Developed a E-commerce Test Suite using SDLC, JUnit, Java. Developed a E-commerce Test Suite using TestNG, Selenium, Manual Testing.",Tester
"Certified DevOps expert with a strong background in AWS, Linux, Ansible, CI/CD, Terraform, Azure. Passionate about building scalable solutions. Projects: Implemented Infrastructure as Code with Terraform which improved efficiency by 39%. Developed a Cloud Migration Project using Terraform, Docker, CI/CD. Developed a Infrastructure as Code with Terraform using Docker, Kubernetes, Monitoring.",DevOps
"Certified Tester expert with a strong background in Manual Testing, API Testing, Selenium, TestNG, Java, Bug Tracking. Passionate about building scalable solutions. Projects: Architected a Performance Benchmarking using Java, Manual Testing, SDLC and deployed on AWS.",Tester
"Certified Tester expert with a strong background in Manual Testing, Python, SDLC, JUnit, Automation Testing, Java. Passionate about building scalable solutions. Projects: Architected a Mobile App Automation using Python, Automation Testing, Bug Tracking and deployed on Azure.",Tester
"Certified DevOps expert with a strong background in Azure, Linux, Scripting, Terraform, CI/CD, AWS. Passionate about building scalable solutions. Projects: Architected a Kubernetes Deployment Pipeline using Scripting, Kubernetes, Terraform and deployed on AWS.",DevOps
"Junior HR with a solid foundation in Training, Recruitment, Talent Acquisition, Strategic HR, Employee Relations, Onboarding. Eager to contribute to innovative projects. Projects: Developed a Payroll Automation using Onboarding, HR Policies, Payroll. Developed a Payroll Automation using HR Policies, Training, Payroll.",HR
"Certified Frontend Developer expert with a strong background in TypeScript, JavaScript, React, CSS3, Next.js, Bootstrap. Passionate about building scalable solutions. Projects: Led the team in creating Social Media Feed with focus on Web Design, HTML5, CSS3. Led the team in creating Dashboard UI with focus on HTML5, Redux, React. Architected a E-learning Platform using JavaScript, HTML5, Web Design and deployed on Azure.",Frontend Developer
"HR lead with 9 years of experience. Skilled at Onboarding, Strategic HR, Talent Acquisition, Payroll, Employee Relations, HR Policies and team management. Projects: Led the team in creating ATS Implementation with focus on Recruitment, Talent Acquisition, Training. Developed a Payroll Automation using Payroll, Strategic HR, Talent Acquisition. Led the team in creating ATS Implementation with focus on Strategic HR, Recruitment, HR Policies.",HR
"Frontend Developer lead with 14 years of experience. Skilled at Redux, Bootstrap, TypeScript, Next.js, React, JavaScript and team management. Projects: Architected a Social Media Feed using Next.js, CSS3, Tailwind CSS and deployed on Azure. Developed a E-learning Platform using Next.js, React, JavaScript.",Frontend Developer
"Results-driven DevOps professional with expertise in Linux, Scripting, Ansible, Kubernetes, AWS, CI/CD. Worked on several high-impact projects. Projects: Developed a Kubernetes Deployment Pipeline using Scripting, Kubernetes, CI/CD. Led the team in creating Infrastructure as Code with Terraform with focus on Terraform, AWS, Monitoring.",DevOps
"Results-driven Tester professional with expertise in Selenium, TestNG, Bug Tracking, Manual Testing, Java, JUnit. Worked on several high-impact projects. Projects: Architected a Mobile App Automation using API Testing, Java, Automation Testing and deployed on Azure. Implemented E-commerce Test Suite which improved efficiency by 13%. Developed a Performance Benchmarking using JUnit, SDLC, Selenium.",Tester
"Data Science lead with 14 years of experience. Skilled at TensorFlow, Python, Data Visualization, SQL, Scikit-learn, Machine Learning and team management. Projects: Developed a Fraud Detection System using NLP, SQL, NumPy.",Data Science
"Experienced HR with 9 years in the industry. Proficient in Onboarding, Strategic HR, Talent Acquisition, Training, HR Policies, Recruitment. Projects: Architected a Performance Review System using Payroll, Talent Acquisition, Strategic HR and deployed on AWS.",HR
